Code,Title,Description
211120,Crude Petroleum Extraction,"This industry comprises establishments primarily engaged in (1) the exploration, development, and/or the production of petroleum from wells in which the hydrocarbons will initially flow or can be produced using normal or enhanced drilling and extraction techniques or (2) the production of crude petroleum from surface shales or tar sands or from reservoirs in which the hydrocarbons are semisolids.  Establishments in this industry operate oil wells on their own account or for others on a contract or fee basis.

Cross-References. Establishments primarily engaged in--"
21113,Natural Gas Extraction,See industry description for 211130.
211130,Natural Gas Extraction,"This industry comprises establishments primarily engaged in (1) the exploration, development, and/or the production of natural gas from wells in which the hydrocarbons will initially flow or can be produced using normal or enhanced drilling and extraction techniques or (2) the recovery of liquid hydrocarbons from oil and gas field gases.  Establishments primarily engaged in sulfur recovery from natural gas are included in this industry.

Cross-References. Establishments primarily engaged in--"
212,Mining (except Oil and Gas)T,"Industries in the Mining (except Oil and Gas) subsector primarily engage in mining, mine site development, and beneficiating (i.e., preparing) metallic minerals and nonmetallic minerals, including coal.  The term ""mining"" is used in the broad sense to include ore extraction, quarrying, and beneficiating (e.g., crushing, screening, washing, sizing, concentrating, and flotation), customarily done at the mine site.

Beneficiation is the process whereby the extracted material is reduced to particles which can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, centrifugal separation, and so on. In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis, distillation, and so on.  However, some treatments, such as heat treatments, take place in both stages: the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site.

Establishments in the Mining (except Oil and Gas) subsector include those that have complete responsibility for operating mines and quarries (except oil and gas wells) and those that operate mines and quarries (except oil and gas wells) for others on a contract or fee basis.  Establishments primarily engaged in providing support services, on a contract or fee basis (except geophysical surveying and mapping, mine site preparation, construction, and transportation activities), required for the mining and quarrying of minerals are classified in Subsector 213, Support Activities for Mining.
"
2121,Coal MiningT,NULL
21211,Coal MiningT,"This industry comprises establishments primarily engaged in one or more of the following: (1) mining bituminous coal, anthracite coal, and lignite by underground mining, auger mining, strip mining, culm bank mining, and other surface mining; (2) developing coal mine sites; and (3) beneficiating (i.e., preparing) coal (e.g., cleaning, washing, screening, and sizing).

Cross-References. Establishments primarily engaged in--"
212114,Surface Coal Mining,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) surface mining of bituminous coal, lignite, and anthracite coal; (2) developing bituminous coal, lignite, and anthracite coal surface mine sites; (3) surface mining and beneficiating (e.g., cleaning, washing, screening, and sizing) of bituminous coal, lignite, and anthracite coal; or (4) beneficiating (e.g., cleaning, washing, screening, and sizing), but not mining, bituminous coal, lignite, and anthracite coal.

Cross-References. Establishments primarily engaged in--"
212115,Underground Coal Mining,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) underground mining of bituminous and anthracite coal; (2) developing bituminous and anthracite coal underground mine sites; and (3) underground mining and beneficiating (e.g., cleaning, washing, screening, and sizing) of bituminous and anthracite coal.

Cross-References. Establishments primarily engaged in--"
2122,Metal Ore MiningT,"This industry group comprises establishments primarily engaged in developing mine sites or mining metallic minerals, and establishments primarily engaged in ore dressing and beneficiating (i.e., preparing) operations, such as crushing, grinding, washing, drying, sintering, concentrating, calcining, and leaching.  Beneficiating may be performed at mills operated in conjunction with the mines served or at mills, such as custom mills, operated separately.
"
21221,Iron Ore MiningT,See industry description for 212210.
212210,Iron Ore Mining,"This industry comprises establishments primarily engaged in (1) developing mine sites, mining, and/or beneficiating (i.e., preparing) iron ores and manganiferous ores valued chiefly for their iron content and/or (2) producing sinter iron ore (except iron ore produced in iron and steel mills) and other iron ore agglomerates.

Cross-References."
21222,Gold Ore and Silver Ore MiningT,See industry description for 212220.
212220,Gold Ore and Silver Ore Mining,"This industry comprises establishments primarily engaged in developing the mine site, mining, and/or beneficiating (i.e., preparing) ores valued chiefly for their gold and/or silver content.  Establishments primarily engaged in the transformation of the gold and silver into bullion or dore bar in combination with mining activities are included in this industry.

Cross-References."
21223,"Copper, Nickel, Lead, and Zinc MiningT",See industry description for 212230.
212230,"Copper, Nickel, Lead, and Zinc Mining","This industry comprises establishments primarily engaged in developing the mine site, mining, and/or beneficiating (i.e., preparing) ores valued chiefly for their copper, nickel, lead, or zinc content.  Beneficiating includes the transformation of ores into concentrates.  Establishments primarily engaged in recovering copper concentrates by the precipitation, leaching, or electrowinning of copper ore are included in this industry.

Cross-References. Establishments primarily engaged in--"
21229,Other Metal Ore MiningT,See industry description for 212290.
212290,Other Metal Ore Mining,"This industry comprises establishments primarily engaged in developing the mine site, mining, and/or beneficiating (i.e., preparing) metal ores (except iron and manganiferous ores valued for their iron content, gold ore, silver ore, copper, nickel, lead, and zinc ore).

Illustrative Examples:

Antimony ores mining and/or beneficiating
Tantalum ores mining and/or beneficiating
Columbite ores mining and/or beneficiating
Tungsten ores mining and/or beneficiating
Ilmenite ores mining and/or beneficiating
Uranium-radium-vanadium ores mining and/or beneficiating
Molybdenum ores mining and/or beneficiating


Cross-References. Establishments primarily engaged in--"
2123,Nonmetallic Mineral Mining and QuarryingT,"This industry group comprises establishments primarily engaged in developing mine sites, or in mining or quarrying nonmetallic minerals (except fuels).  Also included are certain well and brine operations, and preparation plants primarily engaged in beneficiating (e.g., crushing, grinding, washing, and concentrating) nonmetallic minerals.

Beneficiation is the process whereby the extracted material is reduced to particles which can be separated into mineral and waste, the former suitable for further processing or direct use.  The operations that take place in beneficiation are primarily mechanical, such as grinding, washing, magnetic separation, and centrifugal separation.  In contrast, manufacturing operations primarily use chemical and electrochemical processes, such as electrolysis and distillation.  However, some treatments, such as heat treatments, take place in both the beneficiation and the manufacturing (i.e., smelting/refining) stages.  The range of preparation activities varies by mineral and the purity of any given ore deposit.  While some minerals, such as petroleum and natural gas, require little or no preparation, others are washed and screened, while yet others, such as gold and silver, can be transformed into bullion before leaving the mine site.
"
21231,Stone Mining and QuarryingT,"This industry comprises (1) establishments primarily engaged in developing the mine site, mining or quarrying dimension stone (i.e., rough blocks and/or slabs of stone), or mining and quarrying crushed and broken stone and/or (2) preparation plants primarily engaged in beneficiating stone (e.g., crushing, grinding, washing, screening, pulverizing, and sizing).

Cross-References. Establishments primarily engaged in--"
212311,Dimension Stone Mining and Quarrying,"This U.S. industry comprises establishments primarily engaged in developing the mine site and/or mining or quarrying dimension stone (i.e., rough blocks and/or slabs of stone).

Cross-References."
212312,Crushed and Broken Limestone Mining and Quarrying,"This U.S. industry comprises (1) establishments primarily engaged in developing the mine site, mining or quarrying crushed and broken limestone (including related rocks, such as dolomite, cement rock, marl, travertine, and calcareous tufa) and (2) preparation plants primarily engaged in beneficiating limestone (e.g., grinding or pulverizing).

Cross-References. Establishments primarily engaged in--"
212313,Crushed and Broken Granite Mining and Quarrying,"This U.S. industry comprises (1) establishments primarily engaged in developing the mine site, and/or mining or quarrying crushed and broken granite (including related rocks, such as gneiss, syenite (except nepheline), and diorite) and (2) preparation plants primarily engaged in beneficiating granite (e.g., grinding or pulverizing).
"
212319,Other Crushed and Broken Stone Mining and Quarrying,"This U.S. industry comprises: (1) establishments primarily engaged in developing the mine site and/or mining or quarrying crushed and broken stone (except limestone and granite); (2) preparation plants primarily engaged in beneficiating (e.g., grinding and pulverizing) stone (except limestone and granite); and (3) establishments primarily engaged in mining or quarrying bituminous limestone and bituminous sandstone.

Illustrative Examples:

Bituminous limestone mining and/or beneficiating
Marble crushed and broken stone mining and/or beneficiating
Bituminous sandstone mining and/or beneficiating
Sandstone crushed and broken stone mining and/or beneficiating


Cross-References. Establishments primarily engaged in--"
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and QuarryingT","This industry comprises (1) establishments primarily engaged in developing the mine site and/or mining, quarrying, dredging for sand and gravel, or mining clay (e.g., china clay, paper clay and slip clay) or ceramic and refractory minerals and (2) preparation plants primarily engaged in beneficiating (e.g., washing, screening, and grinding) sand and gravel, clay, and ceramic and refractory minerals.

Cross-References. Establishments primarily engaged in--"
212321,Construction Sand and Gravel Mining,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) operating commercial grade (i.e., construction) sand and gravel pits; (2) dredging for commercial grade sand and gravel; and (3) washing, screening, or otherwise preparing commercial grade sand and gravel.

Cross-References. Establishments primarily engaged in--"
212322,Industrial Sand Mining,"This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) operating industrial grade sand pits; (2) dredging for industrial grade sand; and (3) washing, screening, or otherwise preparing industrial grade sand.

Cross-References. Establishments primarily engaged in--"
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining","This U.S. industry comprises (1) establishments primarily engaged in developing the mine site and/or mining clay (e.g., china clay, paper clay and slip clay) or ceramic and refractory minerals and (2) establishments primarily engaged in beneficiating (i.e., preparing) clay or ceramic and refractory minerals.

Illustrative Examples:

Bentonite mining and/or beneficiating
Fuller's earth mining and/or beneficiating
Common clay mining and/or beneficiating
Kaolin mining and/or beneficiating
Feldspar mining and/or beneficiating
Ball clay mining and/or beneficiating
Fire clay mining and/or beneficiating
Shale (except oil shale) mining and/or beneficiating


Cross-References. Establishments primarily engaged in--"
21239,Other Nonmetallic Mineral Mining and QuarryingT,See industry description for 212390.
212390,Other Nonmetallic Mineral Mining and Quarrying,"This industry comprises establishments primarily engaged in developing the mine site, mining, and/or milling or otherwise beneficiating (i.e., preparing) nonmetallic minerals (except coal, stone, sand, gravel, clay, and ceramic and refractory minerals).  Drylake brine operations are included in this industry, as well as establishments engaged in producing the specified minerals from underground and open pit mines.

Illustrative Examples:

Barite mining and/or beneficiating
Phosphate rock mining and/or beneficiating
Borate, natural, mining and/or beneficiating
Potash mining and/or beneficiating
Peat mining and/or beneficiating
Rock salt mining and/or beneficiating


Cross-References. Establishments primarily engaged in--"
213,Support Activities for MiningT,"Industries in the Support Activities for Mining subsector group establishments primarily providing support services, on a contract or fee basis (except geophysical surveying and mapping, mine site preparation, construction, and transportation activities), required for the mining and quarrying of minerals and for the extraction of oil and gas.  Establishments performing exploration for minerals, on a contract or fee basis, are included in this subsector.  Exploration services include traditional prospecting methods, such as taking core samples and making geological observations at prospective sites.

The activities performed on a contract or fee basis by establishments in the Support Activities for Mining subsector are also often performed in-house by mining operators.  These activities include taking core samples, making geological observations at prospective sites, excavating slush pits and cellars, and such oil and gas operations as spudding in, drilling in, redrilling, directional drilling, and well surveying; running, cutting, and pulling casings, tubes, and rods; cementing and shooting wells; perforating well casings; acidizing and chemically treating wells; cleaning out, bailing, and swabbing wells; and operating oil and gas field gathering lines.

Establishments primarily engaged in providing site preparation and related construction activities on a contract or fee basis are classified in Sector 23, Construction.  Establishments primarily engaged in providing transportation activities in support of mining, quarrying, or oil and gas extraction are classified in Sector 48-49, Transportation and Warehousing, based on the primary activity.
"
2131,Support Activities for MiningT,NULL
21311,Support Activities for MiningT,"This industry comprises establishments primarily engaged in providing support services, on a contract or fee basis (except geophysical surveying and mapping, mine site preparation, construction, and transportation activities), required for the mining and quarrying of minerals and for the extraction of oil and gas.  Drilling, taking core samples, and making geological observations at prospective sites for minerals, on a contract or fee basis, are included in this industry.

Cross-References. Establishments primarily engaged in--"
213111,Drilling Oil and Gas Wells,"This U.S. industry comprises establishments primarily engaged in drilling oil and gas wells for others on a contract or fee basis.  This industry includes contractors that specialize in spudding in, drilling in, redrilling, and directional drilling.

Cross-References. Establishments primarily engaged in--"
213112,Support Activities for Oil and Gas Operations,"This U.S. industry comprises establishments primarily engaged in performing support activities, on a contract or fee basis, for oil and gas operations (except geophysical surveying and mapping, site preparation, construction, and transportation activities).  Services included are exploration; excavating slush pits and cellars, well surveying; running, cutting, and pulling casings, tubes, and rods; cementing wells, shooting wells; perforating well casings; acidizing and chemically treating wells; and cleaning out, bailing, and swabbing wells.

Cross-References. Establishments primarily engaged in--"
213113,Support Activities for Coal Mining,"This U.S. industry comprises establishments primarily engaged in providing support activities for coal mining (except geophysical surveying and mapping, site preparation, construction, and transportation activities) on a contract or fee basis.  Exploration for coal is included in this industry.  Exploration services include traditional prospecting methods, such as taking core samples and making geological observations at prospective sites.

Cross-References. Establishments primarily engaged in--"
213114,Support Activities for Metal Mining,"This U.S. industry comprises establishments primarily engaged in providing support activities (except geophysical surveying and mapping, site preparation, construction, and transportation activities), on a contract or fee basis, for the mining and quarrying of metallic minerals and for the extraction of metal ores.  Exploration for these minerals is included in this industry.  Exploration services include traditional prospecting methods, such as taking core samples and making geological observations at prospective sites.

Cross-References. Establishments primarily engaged in--"
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,"This U.S. industry comprises establishments primarily engaged in providing support activities, on a contract or fee basis, for the mining and quarrying of nonmetallic minerals (except fuel) and for the extraction of nonmetallic minerals (except geophysical surveying and mapping, site preparation, construction, and transportation activities).  Exploration for these minerals is included in this industry.  Exploration services include traditional prospecting methods, such as taking core samples and making geological observations at prospective sites.

Cross-References. Establishments primarily engaged in--"
22,UtilitiesT,"The Sector as a Whole

The Utilities sector comprises establishments engaged in the provision of the following utility services: electric power, natural gas, steam supply, water supply, and sewage treatment and disposal.  Within this sector, the specific activities associated with the utility services provided vary by utility: electric power includes generation, transmission, and distribution; natural gas includes distribution; steam supply includes provision and/or distribution; water supply includes treatment and distribution; and sewage removal includes collection, treatment, and disposal of waste through sewer systems and sewage treatment facilities.

Excluded from this sector are establishments primarily engaged in waste management services classified in Subsector 562, Waste Management and Remediation Services.  These establishments also collect, treat, and dispose of waste materials; however, they do not use sewer systems or sewage treatment facilities.
"
221,UtilitiesT,"Industries in the Utilities subsector provide electric power, natural gas, steam supply, water supply, and sewage treatment and disposal through a permanent infrastructure of lines, mains, and pipes.  Establishments are grouped together based on the utility service provided and the particular system or facilities required to perform the service.
"
2211,"Electric Power Generation, Transmission and DistributionT","This industry group comprises establishments primarily engaged in generating, transmitting, and/or distributing electric power.  Establishments in this industry group may perform one or more of the following activities: (1) operate generation facilities that produce electric energy; (2) operate transmission systems that convey the electricity from the generation facility to the distribution system; and (3) operate distribution systems that convey electric power received from the generation facility or the transmission system to the final consumer.
"
22111,Electric Power GenerationT,"This industry comprises establishments primarily engaged in operating electric power generation facilities.  These facilities convert other forms of energy, such as water power (i.e., hydroelectric), fossil fuels, nuclear power, and solar power, into electrical energy.  The establishments in this industry produce electric energy and provide electricity to transmission systems or to electric power distribution systems.

Cross-References. Establishments primarily engaged in--"
221111,Hydroelectric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating hydroelectric power generation facilities.  These facilities use water power to drive a turbine and produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
221112,Fossil Fuel Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating fossil fuel powered electric power generation facilities.  These facilities use fossil fuels, such as coal, oil, or gas, in internal combustion or combustion turbine conventional steam process to produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
221113,Nuclear Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating nuclear electric power generation facilities.  These facilities use nuclear power to produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
221114,Solar Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating solar electric power generation facilities.  These facilities use energy from the sun to produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.

Cross-References."
221115,Wind Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating wind electric power generation facilities.  These facilities use wind power to drive a turbine and produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
221116,Geothermal Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating geothermal electric power generation facilities.  These facilities use heat derived from the Earth to produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
221117,Biomass Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating biomass electric power generation facilities.  These facilities use biomass (e.g., wood, waste, alcohol fuels) to produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.

Cross-References."
221118,Other Electric Power Generation,"This U.S. industry comprises establishments primarily engaged in operating electric power generation facilities (except hydroelectric, fossil fuel, nuclear, solar, wind, geothermal, biomass).  These facilities convert other forms of energy, such as tidal power, into electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.

Cross-References. Establishments primarily engaged in--"
22112,"Electric Power Transmission, Control, and DistributionT","This industry comprises establishments primarily engaged in operating electric power transmission systems, controlling (i.e., regulating voltages) the transmission of electricity, and/or distributing electricity.  The transmission system includes lines and transformer stations.  These establishments arrange, facilitate, or coordinate the transmission of electricity from the generating source to the distribution centers, other electric utilities, or final consumers.  The distribution system consists of lines, poles, meters, and wiring that deliver the electricity to final consumers.

Cross-References."
221121,Electric Bulk Power Transmission and Control,"This U.S. industry comprises establishments primarily engaged in operating electric power transmission systems and/or controlling (i.e., regulating voltages) the transmission of electricity from the generating source to distribution centers or other electric utilities.  The transmission system includes lines and transformer stations.

Cross-References. Establishments primarily engaged in--"
221122,Electric Power Distribution,"This U.S. industry comprises electric power establishments primarily engaged in either (1) operating electric power distribution systems (i.e., consisting of lines, poles, meters, and wiring) or (2) operating as electric power brokers or agents that arrange the sale of electricity via power distribution systems operated by others.

Cross-References. Establishments primarily engaged in--"
2212,Natural Gas DistributionT,NULL
22121,Natural Gas DistributionT,See industry description for 221210.
221210,Natural Gas Distribution,"This industry comprises: (1) establishments primarily engaged in operating gas distribution systems (e.g., mains, meters); (2) establishments known as gas marketers that buy gas from the well and sell it to a distribution system; (3) establishments known as gas brokers or agents that arrange the sale of gas over gas distribution systems operated by others; and (4) establishments primarily engaged in transmitting and distributing gas to final consumers.

Cross-References. Establishments primarily engaged in--"
2213,"Water, Sewage and Other SystemsT","This industry group comprises establishments primarily engaged in: (1) operating water treatment plants and/or water supply systems; (2) operating sewer systems or sewage treatment facilities; or (3) providing steam, heated air, or cooled air.
"
22131,Water Supply and Irrigation Systems,See industry description for 221310.
221310,Water Supply and Irrigation Systems,"This industry comprises establishments primarily engaged in operating water treatment plants and/or operating water supply systems.  The water supply system may include pumping stations, aqueducts, and/or distribution mains.  The water may be used for drinking, irrigation, or other uses.

Cross-References."
22132,Sewage Treatment Facilities,See industry description for 221320.
221320,Sewage Treatment Facilities,"This industry comprises establishments primarily engaged in operating sewer systems or sewage treatment facilities that collect, treat, and dispose of waste.

Cross-References. Establishments primarily engaged in--"
22133,Steam and Air-Conditioning Supply,See industry description for 221330.
221330,Steam and Air-Conditioning Supply,"This industry comprises establishments primarily engaged in providing steam, heated air, or cooled air.  The steam distribution may be through mains.

Cross-References. Establishments primarily engaged in--"
23,ConstructionT,"The Sector as a Whole

The Construction sector comprises establishments primarily engaged in the construction of buildings or engineering projects (e.g., highways and utility systems).  Establishments primarily engaged in the preparation of sites for new construction and establishments primarily engaged in subdividing land for sale as building sites also are included in this sector.

Construction work done may include new work, additions, alterations, or maintenance and repairs.  Activities of these establishments generally are managed at a fixed place of business, but they usually perform construction activities at multiple project sites.  Production responsibilities for establishments in this sector are usually specified in (1) contracts with the owners of construction projects (prime contracts) or (2) contracts with other construction establishments (subcontracts).

Establishments primarily engaged in contracts that include responsibility for all aspects of individual construction projects are commonly known as general contractors, but also may be known as design-builders, construction managers, turnkey contractors, or (in cases where two or more establishments jointly secure a general contract) joint-venture contractors.  Construction managers that provide oversight and scheduling only (i.e., agency) as well as construction managers that are responsible for the entire project (i.e., at risk) are included as general contractor type establishments.  Establishments of the ""general contractor type"" frequently arrange construction of separate parts of their projects through subcontracts with other construction establishments.

Establishments primarily engaged in activities to produce a specific component (e.g., masonry, painting, and electrical work) of a construction project are commonly known as specialty trade contractors.  Activities of specialty trade contractors are usually subcontracted from other construction establishments, but especially in remodeling and repair construction, the work may be done directly for the owner of the property.

Establishments primarily engaged in activities to construct buildings to be sold on sites that they own are known as for-sale builders, but also may be known as speculative builders or merchant builders.  For-sale builders produce buildings in a manner similar to general contractors, but their production processes also include site acquisition and securing of financial backing.  For-sale builders are most often associated with the construction of residential buildings.  Like general contractors, they may subcontract all or part of the actual construction work on their buildings.

There are substantial differences in the types of equipment, work force skills, and other inputs required by establishments in this sector.  To highlight these differences and variations in the underlying production functions, this sector is divided into three subsectors.

Subsector 236, Construction of Buildings, comprises establishments of the general contractor type and for-sale builders involved in the construction of buildings.  Subsector 237, Heavy and Civil Engineering Construction, comprises establishments involved in the construction of engineering projects.  Subsector 238, Specialty Trade Contractors, comprises establishments engaged in specialty trade activities generally needed in the construction of all types of buildings.

Force account construction is construction work performed by an enterprise primarily engaged in some business other than construction for its own account, using employees of the enterprise.  This activity is not included in the construction sector unless the construction work performed is the primary activity of a separate establishment of the enterprise.  The installation and the ongoing repair and maintenance of telecommunications and utility networks is excluded from construction when the establishments performing the work are not independent contractors.  Although a growing proportion of this work is subcontracted to independent contractors in the Construction sector, the operating units of telecommunications and utility companies performing this work are included with the telecommunications or utility activities.
"
236,Construction of BuildingsT,"The Construction of Buildings subsector comprises establishments primarily responsible for the construction of buildings.  The work performed may include new work, additions, alterations, or maintenance and repairs.  The on-site assembly of precut, panelized, and prefabricated buildings and construction of temporary buildings are included in this subsector.  Part or all of the production work for which the establishments in this subsector have responsibility may be subcontracted to other construction establishments--usually specialty trade contractors.

Establishments in this subsector are classified based on the types of buildings they construct.  This classification reflects variations in the requirements of the underlying production processes.
"
2361,Residential Building ConstructionT,NULL
23611,Residential Building ConstructionT,"This industry comprises establishments primarily responsible for the construction or remodeling and renovation of single-family and multifamily residential buildings.  Included in this industry are residential housing general contractors (i.e., new construction, remodeling, or renovating existing residential structures), for-sale builders and remodelers of residential structures, residential project construction management firms, and residential design-build firms.

Cross-References. Establishments primarily engaged in--"
236115,New Single-Family Housing Construction (except For-Sale Builders),"This U.S. industry comprises general contractor establishments primarily responsible for the entire construction of new single-family housing, such as single-family detached houses and town houses or row houses where each housing unit (1) is separated from its neighbors by a ground-to-roof wall and (2) has no housing units constructed above or below.  This industry includes general contractors responsible for the on-site assembly of modular and prefabricated houses.  Single-family housing design-build firms and single-family construction management firms acting as general contractors are included in this industry.

Cross-References. Establishments primarily engaged in--"
236116,New Multifamily Housing Construction (except For-Sale Builders),"This U.S. industry comprises general contractor establishments primarily responsible for the construction of new multifamily residential housing units (e.g., high-rise, garden, town house apartments, and condominiums where each unit is not separated from its neighbors by a ground-to-roof wall).  Multifamily design-build firms and multifamily housing construction management firms acting as general contractors are included in this industry.

Cross-References. Establishments primarily engaged in--"
236117,New Housing For-Sale Builders,"This U.S. industry comprises establishments primarily engaged in building new homes on land that is owned or controlled by the builder rather than the homebuyer or investor.  The land is included with the sale of the home.  Establishments in this industry build single-family and/or multifamily homes.  These establishments are often referred to as merchant builders, but are also known as production or for-sale builders.

Cross-References. Establishments primarily engaged in--"
236118,Residential Remodelers,"This U.S. industry comprises establishments primarily responsible for the remodeling construction (including additions, alterations, reconstruction, maintenance, and repairs) of houses and other residential buildings, single-family and multifamily.  Included in this industry are remodeling general contractors, for-sale remodelers, remodeling design-build firms, and remodeling project construction management firms.

Cross-References. Establishments primarily engaged in--"
2362,Nonresidential Building ConstructionT,"This industry group comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of nonresidential buildings.  This industry group includes nonresidential general contractors, nonresidential for-sale builders, nonresidential design-build firms, and nonresidential project construction management firms.
"
23621,Industrial Building ConstructionT,See industry description for 236210.
236210,Industrial Building Construction,"This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of industrial buildings (except warehouses).  The construction of selected additional structures, whose production processes are similar to those for industrial buildings (e.g., incinerators, cement plants, blast furnaces, and similar nonbuilding structures), is included in this industry.  Included in this industry are industrial building general contractors, industrial building for-sale builders, industrial building design-build firms, and industrial building construction management firms.

Illustrative Examples:

Assembly plant construction
Furnace, industrial plant, construction
Cannery construction
Mine loading and discharging station construction
Cement plant construction
Paper or pulp mill construction
Steel mill construction
Chemical plant (except petrochemical) construction
Pharmaceutical manufacturing plant construction
Factory construction
Food processing plant construction
Waste disposal plant (except sewage treatment) construction


Cross-References. Establishments primarily engaged in--"
23622,Commercial and Institutional Building ConstructionT,See industry description for 236220.
236220,Commercial and Institutional Building Construction,"This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of commercial and institutional buildings and related structures, such as stadiums, grain elevators, and indoor swimming facilities.  This industry includes establishments responsible for the on-site assembly of modular or prefabricated commercial and institutional buildings.  Included in this industry are commercial and institutional building general contractors, commercial and institutional building for-sale builders, commercial and institutional building design-build firms, and commercial and institutional building project construction management firms.

Illustrative Examples:

Airport building construction
Office building construction
Arena construction
Parking garage construction
Barrack construction
Prison construction
Farm building construction
Radio and television broadcast studio construction
Fire station construction
Grain elevator or bin construction
Data center construction
Religious building (e.g., church, synagogue, mosque, temple) construction
Restaurant construction
Hospital construction
School building construction
Hotel construction
Shopping mall construction
Indoor swimming facility construction
Warehouse construction (e.g., commercial, industrial, manufacturing, private)


Cross-References. Establishments primarily engaged in--"
237,Heavy and Civil Engineering ConstructionT,"The Heavy and Civil Engineering Construction subsector comprises establishments whose primary activity is the construction of entire engineering projects (e.g., highways and dams), and specialty trade contractors, whose primary activity is the production of a specific component for such projects.  Specialty trade contractors in the Heavy and Civil Engineering Construction subsector generally are performing activities that are specific to heavy and civil engineering construction projects and are not normally performed on buildings.  The work performed may include new work, additions, alterations, or maintenance and repairs. 

Specialty trade activities are classified in this subsector if the skills and equipment present are specific to heavy or civil engineering construction projects.  For example, specialized equipment is needed to paint lines on highways.  This equipment is not normally used in building applications so the activity is classified in this subsector.  Traffic signal installation, while specific to highways, uses much of the same skills and equipment that are needed for electrical work in building projects and is therefore classified in Subsector 238, Specialty Trade Contractors.

Construction projects involving water resources (e.g., dredging and land drainage) and projects involving open space improvement (e.g., parks and trails) are included in this subsector.  Establishments whose primary activity is the subdivision of land into individual building lots usually perform various additional site-improvement activities (e.g., road building and utility line installation) and are included in this subsector. 

Establishments in this subsector are classified based on the types of structures that they construct.  This classification reflects variations in the requirements of the underlying production processes.
"
2371,Utility System ConstructionT,"This industry group comprises establishments primarily engaged in the construction of distribution lines and related buildings and structures for utilities (i.e., water, sewer, petroleum, gas, power, and communication).  All structures (including buildings) that are integral parts of utility systems (e.g., storage tanks, pumping stations, power plants, and refineries) are included in this industry group.
"
23711,Water and Sewer Line and Related Structures ConstructionT,See industry description for 237110.
237110,Water and Sewer Line and Related Structures Construction,"This industry comprises establishments primarily engaged in the construction of water and sewer lines, mains, pumping stations, treatment plants, and storage tanks.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to water, sewer line, and related structures construction.  All structures (including buildings) that are integral parts of water and sewer networks (e.g., storage tanks, pumping stations, water treatment plants, and sewage treatment plants) are included in this industry.

Illustrative Examples:

Distribution line, sewer and water, construction
Sewer main, pipe and connection, construction
Fire hydrant installation
Storm sewer construction
Irrigation systems construction
Water main and line construction
Sewage disposal plant construction
Water treatment plant construction
Pumping station, water and sewage system, construction
Water system storage tank and tower construction
Reservoir construction
Water well drilling, digging, boring, or sinking (except water intake wells in oil and gas fields)


Cross-References. Establishments primarily engaged in--"
23712,Oil and Gas Pipeline and Related Structures ConstructionT,See industry description for 237120.
